Ensembl gene ID	NCBI gene ID
	
ENSG00000110881	41
ENSG00000117152	5999
ENSG00000143248	8490
ENSG00000182732	9628
ENSG00000182901	6000
ENSG00000108370	8787
ENSG00000112077	6005
ENSG00000103269	9028
ENSG00000188672	6006
ENSG00000187010	6007
ENSG00000113916	604
ENSG00000229927	6008
ENSG00000106615	6009
ENSG00000163914	6010
ENSG00000185974	6011
ENSG00000152214	6014
ENSG00000204227	6015
ENSG00000137275	8737
ENSG00000161940	255877
ENSG00000104312	8767
ENSG00000129465	11035
ENSG00000143622	6016
ENSG00000140522	6017
ENSG00000117000	6018
ENSG00000107018	6013
ENSG00000107014	6019
ENSG00000277027	6023
ENSG00000283293	125050
ENSG00000276168	6029
ENSG00000263740	6030
ENSG00000110987	605
ENSG00000265735	6031
	6032
ENSG00000266794	6033
ENSG00000243352	6034
ENSG00000129538	6035
ENSG00000169385	6036
ENSG00000169397	6037
ENSG00000258818	6038
ENSG00000169413	6039
ENSG00000265790	284203
ENSG00000106635	9275
ENSG00000135828	6041
ENSG00000022840	9921
ENSG00000123091	26994
ENSG00000082996	11342
ENSG00000013561	9604
ENSG00000112343	10475
ENSG00000099385	9274
ENSG00000132972	56163
ENSG00000121481	6045
ENSG00000155827	56254
ENSG00000258659	53840
ENSG00000110171	10612
ENSG00000204599	56658
ENSG00000185619	10336
ENSG00000063978	6047
ENSG00000204308	6048
ENSG00000127870	6049
ENSG00000258590	606
ENSG00000114125	9616
ENSG00000112130	9025
ENSG00000204613	10107
ENSG00000111880	8732
ENSG00000023191	6050
ENSG00000101654	8731
ENSG00000176393	6051
ENSG00000142327	57140
ENSG00000116128	607
ENSG00000205937	10921
	6052
	6053
	6054
	6055
	6056
	26774
ENSG00000238578	26773
ENSG00000238597	26772
ENSG00000207500	26771
ENSG00000213199	9311
	26770
	26769
ENSG00000201348	26767
ENSG00000199212	26766
ENSG00000209042	26765
ENSG00000200320	6043
ENSG00000202363	6044
ENSG00000274978	26824
ENSG00000201659	26823
ENSG00000238498	6076
	6077
ENSG00000239128	6078
ENSG00000272034	26822
ENSG00000206941	6079
ENSG00000274266	6080
ENSG00000200087	26768
ENSG00000242125	8420
ENSG00000200959	26821
ENSG00000128617	611
ENSG00000206652	26871
ENSG00000207005	26870
ENSG00000207389	6060
ENSG00000207513	26869
ENSG00000207340	101954273
ENSG00000206702	26861
ENSG00000199629	26859
ENSG00000186716	613
ENSG00000195024	26858
ENSG00000274585	6066
ENSG00000207280	6082
ENSG00000206680	6083
ENSG00000277194	9304
ENSG00000206611	26820
ENSG00000275043	9303
ENSG00000276788	9302
ENSG00000275996	9301
ENSG00000169668	400892
ENSG00000274544	9300
	9297
ENSG00000222328	26855
ENSG00000222076	26854
ENSG00000277084	26853
ENSG00000222465	26852
