Ensembl gene ID	NCBI gene ID
ENSG00000277846	9299
	9298
ENSG00000201675	26819
ENSG00000284128	644165
ENSG00000199631	26818
ENSG00000202503	26817
ENSG00000200259	26816
ENSG00000199744	26815
ENSG00000200831	26814
ENSG00000252542	26813
ENSG00000206775	26812
ENSG00000265185	26851
ENSG00000215456	616
ENSG00000200318	6068
	26843
	26842
ENSG00000209702	26810
ENSG00000235062	648980
ENSG00000238649	26809
ENSG00000238423	26808
ENSG00000263764	26807
	26806
ENSG00000207241	26805
ENSG00000201487	26804
ENSG00000200913	94161
	26802
ENSG00000201823	26801
ENSG00000277370	26800
ENSG00000200795	26835
ENSG00000202538	26834
ENSG00000201628	6069
ENSG00000201806	6070
	26841
ENSG00000201458	26840
ENSG00000272160	26839
ENSG00000222736	26838
ENSG00000119946	26507
ENSG00000074582	617
	26799
ENSG00000207047	26798
ENSG00000201754	26797
ENSG00000265145	26796
ENSG00000238650	26795
ENSG00000264294	26811
ENSG00000229686	26793
ENSG00000226572	26792
ENSG00000206602	26791
ENSG00000271982	26790
ENSG00000207031	26789
ENSG00000199568	26831
ENSG00000200156	26832
ENSG00000200169	26830
ENSG00000199347	26829
ENSG00000199377	26828
ENSG00000206630	26788
ENSG00000206979	26787
ENSG00000235284	26786
ENSG00000236824	618
ENSG00000206989	26785
ENSG00000207405	26784
ENSG00000201302	26783
ENSG00000207523	26782
ENSG00000277985	26781
ENSG00000207166	26780
ENSG00000206622	26779
ENSG00000206625	26827
ENSG00000272055	26826
ENSG00000199226	26825
	619
ENSG00000206832	6071
ENSG00000207165	26778
ENSG00000225091	26777
ENSG00000235408	26776
ENSG00000207067	26775
ENSG00000208797	8944
	6072
	6073
ENSG00000239078	6075
	620
ENSG00000202400	25826
ENSG00000164902	51808
ENSG00000201098	6084
ENSG00000202354	6085
ENSG00000252316	6086
	6087
	6088
ENSG00000202124	6089
	6090
ENSG00000169855	6091
ENSG00000185008	6092
ENSG00000067900	6093
ENSG00000134318	9475
ENSG00000119314	9991
ENSG00000149489	6094
ENSG00000185483	4919
ENSG00000169071	4920
ENSG00000069667	6095
ENSG00000198963	6096
ENSG00000143365	6097
ENSG00000047936	6098
ENSG00000104237	6101
ENSG00000161267	622
ENSG00000102218	6102
ENSG00000164610	6100
ENSG00000132383	6117
ENSG00000100739	623
ENSG00000117748	6118
ENSG00000106399	6119
ENSG00000197713	6120
ENSG00000116745	6121
ENSG00000156313	6103
ENSG00000181031	9501
ENSG00000153574	22934
ENSG00000147403	6134
ENSG00000198755	4736
ENSG00000148842	54805
ENSG00000168398	624
ENSG00000217026	100288252
ENSG00000142676	6135
ENSG00000197958	6136
ENSG00000167526	6137
ENSG00000142541	23521
ENSG00000188846	9045
ENSG00000174748	6138
ENSG00000265681	6139
ENSG00000063177	6141
ENSG00000105640	6142
ENSG00000108298	6143
ENSG00000122026	6144
ENSG00000214760	6145
ENSG00000116251	6146
ENSG00000125691	9349
ENSG00000198242	6147
ENSG00000239257	6148
ENSG00000225067	401904
ENSG00000214914	8489
ENSG00000212932	54029
ENSG00000214026	6150
ENSG00000176054	54028
ENSG00000114391	6152
ENSG00000161970	6154
ENSG00000131469	6155
ENSG00000166441	6157
ENSG00000176697	627
ENSG00000108107	6158
ENSG00000162244	6159
ENSG00000100316	6122
ENSG00000156482	6156
ENSG00000071082	6160
ENSG00000214326	54027
ENSG00000144713	6161
ENSG00000243761	100131339
ENSG00000236325	23754
ENSG00000224796	6163
ENSG00000126581	8678
ENSG00000109475	6164
ENSG00000237049	26514
	26513
ENSG00000223671	54026
ENSG00000136942	11224
ENSG00000182899	6165
ENSG00000165502	6166
ENSG00000145592	6167
ENSG00000197756	6168
ENSG00000172809	6169
ENSG00000198918	6170
ENSG00000140986	6123
ENSG00000228149	8488
ENSG00000174444	6124
ENSG00000229117	6171
ENSG00000256393	6172
ENSG00000227063	22971
ENSG00000256338	22970
	22969
ENSG00000241343	6173
ENSG00000133169	55859
ENSG00000122406	6125
ENSG00000241061	647436
ENSG00000089009	6128
ENSG00000147604	6129
ENSG00000148303	6130
ENSG00000214485	6174
ENSG00000161016	6132
ENSG00000163682	6133
ENSG00000243649	629
ENSG00000089157	6175
ENSG00000137818	6176
ENSG00000177600	6181
ENSG00000262814	6182
ENSG00000114686	11222
ENSG00000128626	6183
ENSG00000163902	6184
ENSG00000118705	6185
ENSG00000124614	6204
ENSG00000142534	6205
ENSG00000112306	6206
ENSG00000110700	6207
ENSG00000164587	6208
ENSG00000115268	6209
ENSG00000134419	6210
ENSG00000105193	6217
ENSG00000182774	6218
ENSG00000197575	6219
	646013
ENSG00000168763	26505
ENSG00000125864	631
ENSG00000231500	6222
ENSG00000105372	6223
ENSG00000140988	6187
ENSG00000008988	6224
	6225
ENSG00000241907	6226
ENSG00000229761	54025
ENSG00000171858	6227
ENSG00000170819	8419
ENSG00000186468	6228
ENSG00000138326	6229
ENSG00000236477	23756
ENSG00000118181	6230
ENSG00000197728	6231
	54024
ENSG00000177954	6232
ENSG00000143947	6233
ENSG00000233927	6234
ENSG00000213741	6235
ENSG00000149273	6188
ENSG00000145425	6189
ENSG00000233206	101241875
ENSG00000198034	6191
ENSG00000129824	6192
ENSG00000083845	6193
ENSG00000215088	54022
	26516
ENSG00000137154	6194
ENSG00000242252	632
ENSG00000117676	6195
ENSG00000071242	6196
ENSG00000177189	6197
ENSG00000162302	8986
ENSG00000100784	9252
ENSG00000072133	27330
ENSG00000108443	6198
ENSG00000175634	6199
ENSG00000136643	26750
ENSG00000182492	633
ENSG00000171863	6201
ENSG00000142937	6202
ENSG00000170889	6203
ENSG00000214889	8410
ENSG00000144580	9125
ENSG00000166592	6236
ENSG00000126458	6237
ENSG00000125844	6238
ENSG00000124782	6239
ENSG00000180245	10692
ENSG00000167325	6240
ENSG00000171848	6241
ENSG00000236484	6244
ENSG00000214018	100420159
ENSG00000235598	6246
ENSG00000102104	6247
ENSG00000215695	6248
ENSG00000134107	8553
ENSG00000130779	6249
ENSG00000148484	6251
ENSG00000114993	6242
ENSG00000139970	6252
ENSG00000125744	6253
ENSG00000133318	10313
ENSG00000145692	635
ENSG00000159216	861
ENSG00000124813	860
ENSG00000020633	864
ENSG00000175792	8607
ENSG00000183207	10856
ENSG00000186350	6256
ENSG00000204231	6257
ENSG00000143171	6258
ENSG00000132840	23743
ENSG00000163602	23429
ENSG00000163785	6259
ENSG00000263219	6260
ENSG00000196218	6261
ENSG00000198626	6262
ENSG00000198838	6263
ENSG00000160678	6271
ENSG00000197747	6281
ENSG00000163191	6282
ENSG00000163221	6283
ENSG00000151746	636
ENSG00000189171	6284
ENSG00000237632	729659
ENSG00000196754	6273
ENSG00000188015	6274
ENSG00000196154	6275
ENSG00000196420	6276
ENSG00000197956	6277
ENSG00000143556	6278
ENSG00000143546	6279
ENSG00000163220	6280
ENSG00000158158	26504
ENSG00000015475	637
ENSG00000160307	6285
ENSG00000163993	6286
ENSG00000100290	638
ENSG00000173432	6288
ENSG00000134339	6289
ENSG00000166787	6290
ENSG00000148965	6291
ENSG00000223501	6293
ENSG00000151835	26278
ENSG00000136717	274
ENSG00000160633	6294
ENSG00000130561	6295
ENSG00000005187	6296
ENSG00000103449	6299
ENSG00000227391	139163
ENSG00000165821	6297
ENSG00000256463	27164
ENSG00000155307	64092
ENSG00000110934	51411
ENSG00000150459	10284
ENSG00000164105	8819
ENSG00000079332	56681
ENSG00000152700	51128
ENSG00000123453	1757
ENSG00000031698	6301
ENSG00000175467	9092
ENSG00000135452	6302
ENSG00000147439	55909
ENSG00000130066	6303
ENSG00000182568	6304
ENSG00000100241	6305
ENSG00000052802	6307
ENSG00000224339	6308
ENSG00000109929	6309
ENSG00000124788	6310
ENSG00000130638	25814
ENSG00000166619	10904
ENSG00000204842	6311
ENSG00000163635	6314
ENSG00000230223	6315
ENSG00000085365	9522
ENSG00000140497	10066
ENSG00000116521	10067
ENSG00000171222	51282
ENSG00000176700	54581
ENSG00000057149	6317
ENSG00000136573	640
ENSG00000206073	6318
ENSG00000099194	6319
ENSG00000226549	645313
ENSG00000136155	8796
ENSG00000171951	7857
ENSG00000105472	6320
ENSG00000104435	11075
ENSG00000197299	641
ENSG00000047634	6322
ENSG00000102098	10389
ENSG00000185313	6336
ENSG00000168356	11280
ENSG00000144285	6323
ENSG00000105711	6324
ENSG00000136531	6326
ENSG00000149575	6327
ENSG00000108578	642
ENSG00000153253	6328
ENSG00000007314	6329
ENSG00000177098	6330
ENSG00000183873	6331
ENSG00000136546	6332
ENSG00000196876	6334
ENSG00000169432	6335
ENSG00000111319	6337
ENSG00000160683	643
ENSG00000168447	6338
ENSG00000162572	6339
ENSG00000166828	6340
ENSG00000133028	6341
ENSG00000284194	9997
ENSG00000116171	6342
ENSG00000070031	6343
ENSG00000080293	6344
ENSG00000108702	6346
ENSG00000172156	6356
ENSG00000181374	6357
ENSG00000276409	6358
ENSG00000275718	6359
ENSG00000275152	6360
ENSG00000102970	6361
ENSG00000275385	6362
ENSG00000172724	6363
ENSG00000108691	6347
ENSG00000115009	6364
ENSG00000106605	644
ENSG00000137077	6366
ENSG00000102962	6367
ENSG00000274736	6368
ENSG00000106178	6369
ENSG00000131142	6370
ENSG00000006606	10344
ENSG00000213927	10850
ENSG00000277632	6348
ENSG00000277796	6349
	390788
ENSG00000090013	645
ENSG00000275302	6351
	388372
ENSG00000271503	6352
ENSG00000108688	6354
ENSG00000108700	6355
ENSG00000169245	3627
ENSG00000169248	6373
ENSG00000156234	10563
ENSG00000145824	9547
ENSG00000250339	50612
ENSG00000163735	6374
ENSG00000124875	6372
ENSG00000143184	6375
ENSG00000143185	6846
ENSG00000006210	6376
ENSG00000164022	9255
ENSG00000117475	8548
ENSG00000115884	6382
ENSG00000169439	6383
ENSG00000168283	648
ENSG00000162512	9672
ENSG00000124145	6385
ENSG00000137575	6386
ENSG00000165525	9147
ENSG00000153015	10283
ENSG00000156697	10813
ENSG00000214530	10809
ENSG00000165689	10807
ENSG00000188747	10811
ENSG00000179981	10194
ENSG00000168487	649
ENSG00000054282	10806
ENSG00000107562	6387
ENSG00000132581	6388
ENSG00000128228	23753
ENSG00000130385	9210
ENSG00000073578	6389
ENSG00000117118	6390
ENSG00000143252	6391
ENSG00000204370	6392
ENSG00000267162	100289186
ENSG00000227073	647081
ENSG00000244381	29771
ENSG00000236930	29770
ENSG00000229744	29769
ENSG00000224183	29768
ENSG00000125845	650
ENSG00000168497	8436
ENSG00000135094	10993
ENSG00000070367	10640
ENSG00000157020	6396
ENSG00000129657	6397
ENSG00000100003	23541
ENSG00000152785	651
ENSG00000265808	9554
ENSG00000100934	10484
ENSG00000101310	10483
ENSG00000113615	10802
ENSG00000138802	10427
ENSG00000176986	9632
ENSG00000150961	9871
ENSG00000141574	6398
ENSG00000125378	652
ENSG00000256060	10597
ENSG00000253124	27196
ENSG00000224964	27195
ENSG00000232914	27194
ENSG00000225256	27193
	27192
ENSG00000249606	392597
ENSG00000071537	6400
ENSG00000007908	6401
ENSG00000143416	8991
ENSG00000112175	653
ENSG00000188404	6402
ENSG00000174175	6403
ENSG00000110876	6404
ENSG00000075213	10371
ENSG00000012171	7869
ENSG00000075223	10512
ENSG00000153993	223117
ENSG00000170381	9723
ENSG00000001617	6405
ENSG00000196189	64218
ENSG00000153162	654
ENSG00000185033	10509
ENSG00000168758	54910
ENSG00000187764	10507
ENSG00000135622	10505
ENSG00000095539	57715
ENSG00000112902	9037
ENSG00000082684	54437
ENSG00000092421	57556
ENSG00000167680	10501
ENSG00000101144	655
ENSG00000143434	10500
ENSG00000138623	8482
ENSG00000124233	6406
ENSG00000124157	6407
ENSG00000116985	656
ENSG00000100167	55964
ENSG00000250722	6414
ENSG00000178980	6415
ENSG00000215900	23679
ENSG00000172058	8293
ENSG00000205572	728492
ENSG00000140264	10169
ENSG00000120742	27230
ENSG00000107779	657
ENSG00000119335	6418
ENSG00000143379	9869
ENSG00000170364	6419
ENSG00000100095	23544
ENSG00000099995	10291
ENSG00000104897	8175
ENSG00000183431	10946
ENSG00000115524	23451
ENSG00000087365	10992
ENSG00000138696	658
ENSG00000189091	23450
ENSG00000143368	10262
ENSG00000175793	2810
ENSG00000116560	6421
ENSG00000224035	23758
ENSG00000104332	6422
ENSG00000145423	6423
ENSG00000106483	6424
ENSG00000120057	6425
ENSG00000204217	659
ENSG00000136450	6426
ENSG00000136527	6434
ENSG00000116754	9295
ENSG00000161547	6427
ENSG00000139218	9169
ENSG00000112081	6428
ENSG00000116350	6429
ENSG00000100650	6430
ENSG00000124193	6431
ENSG00000115875	6432
ENSG00000102010	660
ENSG00000061936	6433
ENSG00000111786	8683
ENSG00000214867	54021
ENSG00000122852	653509
ENSG00000185303	729238
ENSG00000087085	43
ENSG00000168495	661
ENSG00000225827	100288405
ENSG00000168878	6439
ENSG00000168484	6440
ENSG00000133661	6441
ENSG00000108823	6442
ENSG00000163069	6443
ENSG00000170624	6444
ENSG00000127990	8910
ENSG00000102683	6445
ENSG00000169594	646
ENSG00000118515	6446
ENSG00000104205	23678
ENSG00000166922	6447
ENSG00000166224	8879
ENSG00000181523	6448
ENSG00000104969	6449
ENSG00000113734	662
ENSG00000183918	4068
ENSG00000027869	9047
ENSG00000185437	6450
ENSG00000131171	6451
ENSG00000100092	23616
ENSG00000087266	6452
ENSG00000130147	23677
ENSG00000131370	9467
ENSG00000140299	663
ENSG00000141985	6455
ENSG00000107295	6456
ENSG00000140600	6457
ENSG00000097033	51100
ENSG00000148341	56904
ENSG00000266777	6458
ENSG00000264943	6459
ENSG00000267352	727736
ENSG00000107338	6461
ENSG00000129214	6462
ENSG00000176171	664
ENSG00000160691	6464
ENSG00000230889	6465
ENSG00000267691	6466
ENSG00000127922	7979
ENSG00000107829	6468
ENSG00000164690	6469
ENSG00000104765	665
ENSG00000176974	6470
ENSG00000224751	6471
ENSG00000182199	6472
ENSG00000185960	6473
ENSG00000168779	6474
ENSG00000090402	6476
ENSG00000196470	6477
ENSG00000181788	6478
ENSG00000073849	6480
ENSG00000144057	84620
ENSG00000008513	6482
ENSG00000157350	6483
ENSG00000110080	6484
ENSG00000126091	6487
ENSG00000070731	10610
ENSG00000111728	6489
ENSG00000176720	666
ENSG00000140557	8128
ENSG00000113532	7903
ENSG00000115525	8869
ENSG00000105501	8778
ENSG00000105492	946
ENSG00000168995	27036
ENSG00000105366	27181
ENSG00000129450	27180
ENSG00000123473	6491
ENSG00000185664	6490
ENSG00000112246	6492
ENSG00000159263	6493
ENSG00000092208	8487
ENSG00000213445	6494
ENSG00000068903	22933
ENSG00000126778	6495
ENSG00000170577	10736
ENSG00000138083	6496
ENSG00000100625	51804
ENSG00000177045	147912
ENSG00000184302	4990
ENSG00000100462	10419
ENSG00000119541	9525
ENSG00000157933	6497
ENSG00000136603	6498
ENSG00000204351	6499
ENSG00000113558	6500
ENSG00000151914	667
ENSG00000256211	728622
ENSG00000145604	6502
ENSG00000155926	6503
ENSG00000117090	6504
ENSG00000163950	7884
ENSG00000100652	6554
ENSG00000125255	6555
ENSG00000018280	6556
ENSG00000110911	4891
ENSG00000138449	30061
ENSG00000074803	6557
ENSG00000064651	6558
ENSG00000070915	6559
ENSG00000124067	6560
ENSG00000140199	9990
ENSG00000113504	10723
ENSG00000081800	6561
ENSG00000007216	9058
ENSG00000141469	6563
ENSG00000132874	8170
ENSG00000183770	668
ENSG00000088386	6564
ENSG00000163406	6565
ENSG00000155380	6566
ENSG00000147100	6567
ENSG00000141526	9123
ENSG00000168679	9122
ENSG00000170190	9121
ENSG00000108932	9120
ENSG00000118596	9194
ENSG00000124568	6568
ENSG00000172331	669
ENSG00000112337	10246
ENSG00000124564	10786
ENSG00000146039	10050
ENSG00000119899	26503
ENSG00000036565	6570
ENSG00000165646	6571
ENSG00000187714	6572
ENSG00000173638	6573
ENSG00000117479	10560
ENSG00000106688	6505
ENSG00000137274	670
ENSG00000110436	6506
ENSG00000079215	6507
ENSG00000115902	6509
ENSG00000105281	6510
ENSG00000105143	6511
ENSG00000162383	6512
ENSG00000144136	6574
ENSG00000168575	6575
ENSG00000101425	671
ENSG00000176463	28232
ENSG00000101187	28231
ENSG00000174640	6578
ENSG00000084453	6579
ENSG00000134538	10599
ENSG00000162813	10380
ENSG00000111700	28234
ENSG00000137491	11309
ENSG00000175003	6580
ENSG00000110628	5002
ENSG00000254827	5003
ENSG00000112499	6582
ENSG00000146477	6581
ENSG00000197208	6583
ENSG00000197375	6584
ENSG00000157764	673
ENSG00000197901	9356
ENSG00000137204	10864
ENSG00000149452	9376
ENSG00000089057	9962
ENSG00000170482	9963
ENSG00000074621	9187
ENSG00000155886	25769
ENSG00000185052	57419
ENSG00000140090	123041
ENSG00000100075	6576
ENSG00000183048	1468
ENSG00000108528	8402
ENSG00000115840	8604
ENSG00000004864	10165
ENSG00000102078	9016
ENSG00000102743	10166
ENSG00000122912	8034
ENSG00000100372	10478
ENSG00000182902	83733
ENSG00000075415	5250
ENSG00000089234	8315
ENSG00000151729	291
ENSG00000005022	292
ENSG00000169100	293
ENSG00000145217	10861
ENSG00000155850	1836
ENSG00000130304	376497
ENSG00000140284	11001
ENSG00000143554	11000
ENSG00000167114	10999
ENSG00000083807	10998
ENSG00000012048	672
ENSG00000113396	28965
ENSG00000156222	9154
ENSG00000137860	9153
ENSG00000112759	2030
ENSG00000174669	3177
ENSG00000117394	6513
ENSG00000163581	6514
ENSG00000059804	6515
ENSG00000253861	100128062
ENSG00000181856	6517
ENSG00000139618	675
ENSG00000142583	6518
ENSG00000160326	11182
ENSG00000170385	7779
ENSG00000158014	7780
ENSG00000115194	7781
ENSG00000104154	7782
ENSG00000136868	1317
ENSG00000136867	1318
ENSG00000101438	140679
ENSG00000131183	6569
ENSG00000100425	23774
ENSG00000157765	10568
ENSG00000164414	10559
ENSG00000102100	7355
ENSG00000117620	23443
ENSG00000160190	54020
ENSG00000138079	6519
ENSG00000168003	6520
ENSG00000004939	6521
ENSG00000164889	6522
ENSG00000114923	6508
ENSG00000204256	6046
ENSG00000080493	8671
ENSG00000033867	9497
ENSG00000050438	9498
ENSG00000113073	83697
ENSG00000100170	6523
ENSG00000140675	6524
ENSG00000198743	6526
ENSG00000100191	6527
ENSG00000169925	8019
ENSG00000105641	6528
ENSG00000138074	8884
ENSG00000157103	6529
ENSG00000214617	386757
ENSG00000132164	6538
ENSG00000111181	6539
ENSG00000010379	6540
ENSG00000268104	11254
ENSG00000103546	6530
ENSG00000142319	6531
ENSG00000137948	676
ENSG00000108576	6532
ENSG00000165970	9152
ENSG00000131389	6533
ENSG00000226818	54019
ENSG00000011083	6534
ENSG00000130821	6535
ENSG00000196517	6536
ENSG00000139514	6541
ENSG00000130876	56301
ENSG00000151012	23657
ENSG00000158019	9577
ENSG00000003989	6542
ENSG00000165349	84889
ENSG00000099960	6545
ENSG00000103257	8140
ENSG00000103064	9057
ENSG00000155465	9056
ENSG00000092068	23428
ENSG00000021488	11136
ENSG00000183023	6546
ENSG00000118160	6543
ENSG00000185650	677
ENSG00000100678	6547
ENSG00000090020	6548
ENSG00000115616	6549
ENSG00000066230	6550
ENSG00000233011	6551
ENSG00000109062	9368
ENSG00000065054	9351
ENSG00000180251	389015
ENSG00000135740	6553
ENSG00000198689	10479
ENSG00000152518	678
ENSG00000187122	6585
ENSG00000145147	9353
ENSG00000184347	6586
ENSG00000065613	9748
ENSG00000170290	6588
ENSG00000164713	25798
ENSG00000124107	6590
ENSG00000019549	6591
ENSG00000102038	6594
ENSG00000080503	6595
ENSG00000071794	6596
ENSG00000127616	6597
ENSG00000153147	8467
ENSG00000138375	50485
ENSG00000099956	6598
ENSG00000173473	6599
ENSG00000139613	6601
ENSG00000066117	6602
ENSG00000108604	6603
ENSG00000082014	6604
ENSG00000073584	6605
ENSG00000117713	8289
ENSG00000072501	8243
ENSG00000077935	27127
ENSG00000126012	8242
ENSG00000012817	8284
ENSG00000172062	6606
ENSG00000205571	6607
ENSG00000128602	6608
ENSG00000121152	23397
ENSG00000166311	6609
ENSG00000135587	6610
ENSG00000091482	23676
ENSG00000102172	6611
ENSG00000184900	6612
ENSG00000188612	6613
ENSG00000183963	6525
ENSG00000088827	6614
ENSG00000124216	6615
ENSG00000237194	10415
ENSG00000102239	680
ENSG00000092531	8773
ENSG00000132639	6616
ENSG00000099940	9342
ENSG00000023608	6617
ENSG00000104976	6618
ENSG00000164975	6619
ENSG00000165684	6621
ENSG00000145335	6622
ENSG00000064692	9627
ENSG00000074317	6620
ENSG00000173267	6623
ENSG00000142178	150094
ENSG00000075618	6624
ENSG00000184602	8303
ENSG00000104852	6625
ENSG00000077312	6626
ENSG00000131876	6627
ENSG00000125835	6628
ENSG00000125870	6629
ENSG00000124562	6631
ENSG00000167088	6632
ENSG00000125743	6633
ENSG00000172270	682
ENSG00000100028	6634
ENSG00000182004	6635
ENSG00000139343	6636
ENSG00000143977	6637
ENSG00000128739	6638
ENSG00000101400	6640
ENSG00000172164	6641
ENSG00000168807	6645
ENSG00000164061	8927
ENSG00000273173	8926
ENSG00000028528	6642
ENSG00000205302	6643
ENSG00000112335	8724
ENSG00000114520	8723
ENSG00000057252	6646
ENSG00000167780	8435
ENSG00000142168	6647
ENSG00000109743	683
ENSG00000291237	6648
ENSG00000109610	6649
ENSG00000103326	6650
ENSG00000159140	6651
ENSG00000140263	6652
ENSG00000137642	6653
ENSG00000134243	6272
ENSG00000115904	6654
ENSG00000100485	6655
ENSG00000182968	6656
ENSG00000130303	684
ENSG00000100146	6663
ENSG00000176887	6664
ENSG00000143842	9580
ENSG00000168875	8403
ENSG00000203883	54345
ENSG00000181449	6657
ENSG00000129194	6665
ENSG00000125285	11166
ENSG00000177732	6666
ENSG00000134595	6658
ENSG00000064726	53339
ENSG00000124766	6659
ENSG00000134532	6660
ENSG00000254376	6661
ENSG00000005513	30812
ENSG00000125398	6662
ENSG00000185591	6667
ENSG00000067066	6672
ENSG00000167182	6668
ENSG00000172845	6670
ENSG00000105866	6671
ENSG00000174808	685
ENSG00000064199	53340
ENSG00000104450	6674
ENSG00000061656	6676
ENSG00000077327	9576
ENSG00000091640	9552
ENSG00000106304	6677
ENSG00000198021	30014
ENSG00000113140	6678
ENSG00000169814	686
ENSG00000152583	8404
ENSG00000104133	80208
ENSG00000119138	687
ENSG00000198513	51062
ENSG00000021574	6683
ENSG00000197912	6687
ENSG00000176170	8877
ENSG00000066336	6688
ENSG00000269404	6689
ENSG00000106723	10927
ENSG00000164266	6690
ENSG00000128040	6691
ENSG00000166145	6692
ENSG00000167642	10653
ENSG00000101446	10816
ENSG00000197471	6693
ENSG00000145741	689
ENSG00000054796	23626
ENSG00000152377	6695
ENSG00000262655	10418
ENSG00000159674	10417
ENSG00000121067	8405
ENSG00000118785	6696
ENSG00000072080	6694
ENSG00000116096	6697
ENSG00000169474	6698
ENSG00000118903	690
ENSG00000169469	6699
ENSG00000241794	6700
ENSG00000196805	6701
ENSG00000229035	6702
ENSG00000163216	6703
ENSG00000203785	6704
ENSG00000244094	6705
ENSG00000159516	6706
ENSG00000163209	6707
ENSG00000164056	10252
ENSG00000213003	652963
ENSG00000136158	10253
ENSG00000168939	10251
ENSG00000163554	6708
ENSG00000197694	6709
ENSG00000070182	6710
ENSG00000115306	6711
ENSG00000173898	6712
ENSG00000090054	10558
ENSG00000100596	9517
ENSG00000104549	6713
ENSG00000227118	132556
ENSG00000161011	8878
ENSG00000213523	10011
ENSG00000197122	6714
ENSG00000145545	6715
ENSG00000277893	6716
ENSG00000232549	6719
ENSG00000227776	80701
ENSG00000072310	6720
ENSG00000254225	693
ENSG00000198911	6721
ENSG00000112658	6722
ENSG00000075142	6717
ENSG00000248660	6644
ENSG00000185739	6345
ENSG00000116649	6723
ENSG00000125508	6725
ENSG00000140319	6727
ENSG00000133639	694
ENSG00000153037	6728
ENSG00000100883	6729
ENSG00000167881	6730
ENSG00000174780	6731
ENSG00000143742	6726
ENSG00000096063	6732
ENSG00000135250	6733
ENSG00000182934	6734
ENSG00000101955	8406
ENSG00000159388	7832
ENSG00000184895	6736
ENSG00000132109	6737
ENSG00000116747	6738
ENSG00000138385	6741
ENSG00000106028	6742
ENSG00000138434	6744
ENSG00000154640	10950
ENSG00000136754	10006
ENSG00000176101	8636
ENSG00000123096	8082
ENSG00000124783	6745
ENSG00000163479	6746
ENSG00000114850	6747
ENSG00000180879	6748
ENSG00000149136	6749
ENSG00000173465	10534
ENSG00000157005	6750
ENSG00000010671	695
ENSG00000139874	6751
ENSG00000180616	6752
ENSG00000278195	6753
ENSG00000132671	6754
ENSG00000162009	6755
ENSG00000126752	6756
ENSG00000241476	6757
ENSG00000165584	10214
ENSG00000268009	6759
ENSG00000165583	6758
ENSG00000141380	6760
ENSG00000100380	6767
ENSG00000149418	6768
ENSG00000122707	8434
ENSG00000162892	11009
ENSG00000124557	696
ENSG00000166444	6764
ENSG00000004866	7982
ENSG00000144681	6769
ENSG00000118007	10274
ENSG00000101972	10735
ENSG00000066923	10734
