2	AD	
144568	AD	
8086	AR	
79719	AD	
16	AD,AR	
57505	AR	
10157	AR	
18	AR	
19	AD,AR	
26154	AR	
20	AR	
21	AR	
24	AD,AR	
23461	AR	
5243	AD	
8647	AR	
5244	AD,AR	
10058	AD	
22	XL	
4363	AD	
85320	AR	
1244	AD,AR	
368	AD,AR	
6833	AD,AR	
10060	AD	
215	XL	
5825	AR	
5826	AR	
64240	AR	
64241	AR	
26090	AR	
51099	AR	
25	AD	
27034	AR	
28976	AR	
34	AR	
35	AR	
36	AR	
37	AR	
176	AD	
38	AR	
91452	AR	
65057	AD,AR	
1636	AR	
55331	AR	
57007	AR	
50	AR	
51	AD	
8309	AR	
93650	AR	
54	AR	
197322	AR	
2182	XL	
58	AD,AR	
59	AD	
60	AD	
70	AD	
71	AD	
72	AD	
51412	AD,AR	
284382	AR	
87	AD	
88	AD	
89	AR	
81	AD	
90	AD	
93	AD	
94	AD	
95	AR	
100	AR	
51816	AR	
102	AD	
6868	AR	
53616	AR	
8754	AR	
81794	AR	
11093	AR	
170691	AR	
170692	AR	
9509	AR	
9508	AR	
9719	AR	
54507	AR	
103	AD,AR	
104	AR	
113179	AR	
107	AR	
55811	AD	
109	AR	
111	AD	
112	AR	
120	AR	
30817	AD	
9289	AR	
10149	XL	
57211	AR	
84059	AR	
132	AD	
23394	AD	
54936	AR	
151	AD	
152	AD	
153	AD	
154	AD	
158	AR	
122622	AR	
165	AR	
2334	XL	
3899	AD	
27125	AD	
10939	AD,AR	
174	AD,AR	
175	AR	
123624	AD	
60509	AR	
55750	AR	
178	AR	
179	XL	
10555	AR	
8540	AR	
375790	AR	
183	AR	
23287	AR	
185	AR	
186	XL	
189	AR	
64902	AR	
191	AR	
27245	AD	
54806	AR	
196	AR	
197	AR	
57379	AR	
9131	XL	
9255	AR	
7965	AR	
9049	AD	
23746	AD,AR	
326	AD,AR	
203	AR	
204	AR	
122481	AR	
10142	AD	
1646	AR	
6718	AR	
207	AD	
208	AD	
10000	AD	
210	AR	
212	XL	
213	AD,AR	
5832	AD,AR	
220	AR	
224	AR	
8659	AR	
7915	AR	
4329	AR	
501	AR	
226	AR	
229	AR	
56052	AR	
440138	AR	
79087	AR	
79868	XL	
199857	AR	
85365	AR	
10195	AR	
29929	AR	
79053	AR	
79796	AR	
238	AD	
91801	AR	
7840	AR	
242	AR	
240	AD	
59344	AR	
80216	AD	
57538	AD,AR	
249	AD,AR	
57679	AR	
259173	AD	
8092	AR	
257	AR	
60529	AD,AR	
23600	AR	
258	AR	
261	AR	
265	XL	
139285	XL	
268	AR	
269	AR	
9949	XL	
81693	AR	
270	AR	
271	AR	
272	AD,AR	
275	AR	
401138	AD	
64682	AR	
283	AD	
285	AD	
27329	AR	
286	AD,AR	
287	AD	
288	AR	
56172	AD	
23141	AR	
29123	AD	
22852	AD	
203286	AR	
54443	AD	
55129	AR	
63982	AD	
203859	AD	
196527	AR	
3730	XL	
84168	AD,AR	
118429	AR	
311	AD	
162	AR	
1174	AR	
8905	XL	
130340	AD	
1173	AD	
1175	AD	
8546	AR	
8120	AR	
8943	AR	
10717	AR	
23431	AD,AR	
9179	AR	
11154	AR	
9907	AR	
324	AD	
10297	AR	
147495	AD	
335	AD,AR	
336	AR	
116519	AD,AR	
338	AD,AR	
344	AR	
345	AD	
348	AD,AR	
351	AD	
26060	AD	
353	AR	
54840	AR	
359	AD,AR	
367	XL	
372	AD	
375	AD	
10564	AR	
383	AR	
57514	AD	
396	AR	
9138	AR	
9639	AD	
23370	AR	
9181	AR	
9459	XL	
23229	XL	
8289	AD	
57492	AD	
196528	AD	
200894	AR	
402	AD	
23568	AR	
403	AR	
84100	AR	
23204	AR	
84071	AR	
79798	AD	
80210	AR	
9915	AR	
10095	AR	
407	XL	
410	AR	
411	AR	
22901	AR	
415	XL	
64801	AR	
170302	XL	
427	AR	
136371	AD	
51008	AD	
429	AD	
55870	AD	
434	AD	
435	AR	
440	AR	
443	AR	
444	AR	
259266	AR	
151516	AD	
445	AR	
171023	AD	
55252	AD	
80816	AD	
84896	AR	
55210	AD,AR	
85300	AR	
22926	AR	
471	AR	
51062	AD	
25923	AD	
472	AD,AR	
1822	AD	
220202	AR	
286410	XL	
23400	AR	
476	AD	
477	AD	
478	AD	
487	AR	
488	AD	
492	XL	
27032	AD	
498	AR	
514	AR	
84833	AR	
537	XL	
10159	XL	
23545	AR	
50617	AR	
523	AR	
525	AR	
526	AD	
529	AR	
538	XL	
540	AR	
51761	AR	
5205	AD,AR	
91647	AR	
545	AD,AR	
546	XL	
6310	AD	
25814	AD	
6311	AD	
4287	AD	
6314	AD	
724066	AD	
6315	AD	
549	AR	
6795	AR	
26053	AD	
10677	AR	
551	AD,AR	
554	XL	
8312	AD	
8313	AD	
567	AR	
148789	AR	
126792	AR	
26229	AR	
145173	AR	
2583	AR	
2683	AR	
11285	AR	
11041	AR	
27077	AR	
80776	AR	
570	AR	
60468	AD	
9531	AD	
8815	AR	
8314	AD	
580	AD	
92482	AR	
582	AR	
79738	AR	
166379	AR	
583	AR	
585	AR	
129880	AR	
55212	AR	
27241	AR	
10134	XL	
587	AR	
590	AR	
593	AR	
594	AR	
10295	AR	
8915	AR	
53335	AD	
64919	AD	
53630	AD	
54880	XL	
63035	XL	
613	AD	
617	AR	
627	AD	
55814	AR	
146227	AD	
7439	AD	
631	AR	
8419	AD,AR	
633	XL	
727857	AR	
79365	AD	
80114	AD	
23299	AD	
274	AR	
640	AD	
641	AR	
29760	AR	
388552	AR	
63915	AR	
26258	AR	
644	AD,AR	
649	AR	
9210	XL	
650	AD	
652	AD	
168667	AR	
657	AD	
658	AD,AR	
659	AD	
9790	AD	
646	AD	
54796	AD	
388962	AR	
669	AD,AR	
54928	AR	
2186	AD	
673	AD	
221927	AR	
672	AD,AR	
675	AD,AR	
676	AR	
2972	AR	
83990	AD,AR	
7862	AD	
254065	XL	
26580	AR	
7809	AR	
686	AR	
54766	AR	
