"geneID" "HG002" "HG003" "WB100071" "WB100005" "WB100061" "WB100043" "WB100083" "WB100079" "WB100078" "WB100074" "WB100038" "WB100017"
"ENSG00000006744.19_7" 7984 7296 494 1434 1595 496 261 346 464 618 1022 503
"ENSG00000006747.15_5" 255 0 5 6 8 17 0 10 2 1 3 1
"ENSG00000006756.16_5" 2962 2315 146 739 814 241 333 184 181 252 432 212
"ENSG00000006757.12_6" 610 1170 47 176 125 62 38 40 34 89 89 67
"ENSG00000006788.14_7" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000006831.10_4" 8907 11374 559 2670 2573 702 894 469 733 862 1606 683
"ENSG00000006837.12_7" 19 346 4 11 10 3 2 2 3 1 8 4
"ENSG00000007001.13_4" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007038.11_4" 1986 669 17 21 47 7 7 3 46 27 75 45
"ENSG00000007047.15_6" 4421 3288 167 722 812 284 739 254 405 440 601 700
"ENSG00000007062.11_7" 0 1 8 2 7 4 2 1 0 5 4 0
"ENSG00000007080.11_4" 5582 5572 218 587 532 213 246 167 236 481 643 569
"ENSG00000007129.18_7" 2500 3629 210 653 678 125 98 63 233 263 575 338
"ENSG00000007168.13_5" 19307 23930 1129 4189 5768 1618 2060 1150 1632 1407 3188 1284
"ENSG00000007171.18_8" 0 0 2 0 10 4 0 0 1 1 6 4
"ENSG00000007174.18_6" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007202.15_7" 12031 12307 1422 4933 6794 1873 1799 1303 1688 1980 3767 1463
"ENSG00000007216.15_6" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007237.18_8" 15368 15364 990 3907 5413 1290 3042 1935 1188 1789 3414 1986
"ENSG00000007255.10_3" 5102 3460 225 579 486 205 107 123 217 262 506 386
"ENSG00000007264.15_7" 7601 4476 416 3028 981 274 310 357 737 631 1151 624
"ENSG00000007306.15_5" 0 0 0 0 1 0 3 0 0 0 1 0
"ENSG00000007312.13_6" 17465 13425 1096 3588 2474 1211 396 515 1242 1051 2383 2139
"ENSG00000007314.12_5" 0 0 3 25 30 12 0 1 7 6 9 8
"ENSG00000007341.19_6" 1529 282 45 250 263 76 45 44 74 89 125 78
"ENSG00000007350.17_8" 316 934 63 245 155 101 128 61 100 90 179 33
"ENSG00000007372.23_9" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007376.8_6" 3168 2674 188 627 409 226 229 177 275 400 563 437
"ENSG00000007384.15_6" 0 0 5 4 1 1 2 0 3 2 2 5
"ENSG00000007392.16_7" 9254 2582 472 2477 1613 615 260 419 568 802 1066 466
"ENSG00000007402.11_5" 1253 2040 103 450 329 93 62 96 128 108 156 29
"ENSG00000007516.14_6" 1756 2623 179 437 469 436 270 224 183 468 540 449
"ENSG00000007520.4_5" 5363 3956 243 719 572 238 332 133 272 370 686 587
"ENSG00000007541.17_5" 2736 4792 286 702 655 348 373 204 320 400 787 448
"ENSG00000007545.16_5" 2758 5324 341 1373 1237 502 354 348 404 491 810 279
"ENSG00000007866.21_11" 0 56 2 9 4 3 9 7 2 3 20 5
"ENSG00000007908.16_7" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007923.16_6" 3522 3370 313 1065 1179 409 200 257 354 520 785 339
"ENSG00000007933.13_5" 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000007944.15_4" 14678 15215 511 2218 2342 754 1119 679 1036 839 1483 705
"ENSG00000007952.18_6" 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000007968.7_5" 2166 438 148 386 516 205 213 132 129 199 330 208
"ENSG00000008018.9_5" 12227 6670 570 3279 2106 566 811 396 517 585 1678 1223
"ENSG00000008056.14_7" 319 0 2 3 21 4 7 2 4 7 6 23
"ENSG00000008083.14_4" 13410 13300 605 1728 3541 981 1798 775 921 1200 1671 1512
"ENSG00000008086.13_6" 1028 2760 72 305 542 109 436 153 149 168 245 107
