"Geneid" "HG002" "HG003"
"ENSG00000004478.8_4" 5306 5117
"ENSG00000004487.17_6" 6710 4095
"ENSG00000004534.15_5" 28238 21930
"ENSG00000004660.15_6" 3465 1752
"ENSG00000004700.16_8" 5491 2621
"ENSG00000004766.17_5" 3461 1192
"ENSG00000004776.13_5" 0 0
"ENSG00000004777.18_4" 870 806
"ENSG00000004779.10_5" 2364 3082
"ENSG00000004799.8_5" 1380 5702
"ENSG00000004809.14_7" 0 0
"ENSG00000004838.14_6" 430 0
"ENSG00000004846.16_5" 70 0
"ENSG00000004848.8_7" 0 0
"ENSG00000004864.14_4" 1810 2278
"ENSG00000004866.20_7" 560 199
"ENSG00000004897.12_7" 3890 2262
"ENSG00000004939.15_6" 10948 41296
"ENSG00000004948.15_7" 0 0
"ENSG00000004961.15_4" 2498 2882
"ENSG00000004975.12_6" 5150 2502
"ENSG00000005001.10_5" 0 0
"ENSG00000005007.13_4" 24796 20478
"ENSG00000005020.13_7" 25106 25081
"ENSG00000005022.6_4" 19267 17705
"ENSG00000005059.16_7" 12317 7568
"ENSG00000005073.6_4" 0 0
"ENSG00000005075.15_3" 3957 2456
"ENSG00000005100.13_8" 2780 1820
"ENSG00000005102.14_5" 414 0
"ENSG00000005108.16_7" 286 0
"ENSG00000005156.12_9" 3400 4878
"ENSG00000005175.10_6" 7390 9158
"ENSG00000005187.12_5" 1118 976
"ENSG00000005189.19_6" 484 0
"ENSG00000005194.15_7" 6874 3116
"ENSG00000005206.17_5" 10177 3620
"ENSG00000005238.19_4" 10807 6596
"ENSG00000005243.10_6" 132 0
"ENSG00000005249.13_4" 2936 8128
"ENSG00000005302.19_7" 22812 21579
"ENSG00000005339.15_9" 21301 21752
"ENSG00000005379.17_8" 2052 652
"ENSG00000005381.8_5" 487 2326
"ENSG00000005421.9_5" 46 0
"ENSG00000005436.14_8" 2490 2958
"ENSG00000005448.17_6" 2176 2840
"ENSG00000005469.12_3" 1756 856
"ENSG00000005471.18_9" 1106 18
"ENSG00000005483.21_8" 33519 43349
"ENSG00000005486.17_4" 8770 7730
"ENSG00000005513.10_4" 913 0
"ENSG00000005700.15_7" 5336 5680
"ENSG00000005801.18_8" 4182 6780
"ENSG00000005810.18_5" 18906 21413
"ENSG00000005812.11_8" 10585 6845
"ENSG00000005844.18_7" 49945 43577
"ENSG00000005882.12_7" 1985 902
"ENSG00000005884.18_4" 794 2
"ENSG00000005889.15_4" 6186 9782
"ENSG00000005893.16_5" 39535 54505
"ENSG00000005961.19_7" 1930 7524
"ENSG00000005981.13_4" 0 0
"ENSG00000006007.12_5" 10147 11762
"ENSG00000006015.17_5" 4760 2378
"ENSG00000006016.11_6" 0 0
"ENSG00000006025.12_7" 4294 2266
"ENSG00000006042.12_6" 0 0
"ENSG00000006047.13_5" 0 0
"ENSG00000006059.4_5" 9 0
"ENSG00000006062.17_7" 6361 7123
"ENSG00000006071.15_8" 195 0
"ENSG00000006116.4_3" 0 0
"ENSG00000006118.14_8" 0 0
"ENSG00000006125.18_8" 27341 32335
"ENSG00000006128.12_6" 0 0
"ENSG00000006194.10_5" 4856 4271
"ENSG00000006210.7_5" 0 0
"ENSG00000006282.21_8" 3676 4466
"ENSG00000006283.18_6" 0 0
"ENSG00000006327.14_3" 1042 0
"ENSG00000006377.11_4" 0 0
"ENSG00000006432.15_5" 652 236
"ENSG00000006451.8_5" 7838 3540
"ENSG00000006453.14_6" 0 576
"ENSG00000006459.11_5" 11705 16283
"ENSG00000006468.14_7" 0 0
"ENSG00000006530.18_8" 4573 8266
"ENSG00000006534.16_6" 8393 8707
"ENSG00000006555.11_8" 1550 1864
"ENSG00000006576.16_3" 3537 4914
"ENSG00000006606.8_4" 0 0
"ENSG00000006607.14_7" 2638 1734
"ENSG00000006611.16_6" 0 0
"ENSG00000006625.18_6" 843 8
"ENSG00000006634.8_4" 2150 1040
"ENSG00000006638.13_4" 1371 765
"ENSG00000006652.14_8" 7113 12570
"ENSG00000006659.13_4" 0 0
"ENSG00000006695.12_5" 1088 1420
"ENSG00000006704.10_6" 98 0
"ENSG00000006712.15_6" 10559 13267
"ENSG00000006715.16_6" 7691 7183
"ENSG00000006740.17_4" 12 2
